time,altitude,velocity,mass,fuel_mass,thrust,thrust_command,filtered_altitude,filtered_velocity,measured_altitude,measured_velocity
64.63999999999616,762.4457775929695,-0.42646864203810997,1146.473685738682,146.47368573868198,3400.0,4150.276563644841,762.4233819359509,-0.5572554665145043,761.7064407948144,-1.0953716342571043
64.64999999999617,762.4415889097165,-0.41126800855841095,1146.4614533227798,146.4614533227798,3600.0,4150.234742374029,762.3892290141107,-0.5614099433397045,762.0818527175476,-0.5988002347665067
64.65999999999617,762.4375609569648,-0.394322541792071,1146.4485413282164,146.44854132821638,3800.0,4150.190461028463,762.4412201684462,-0.5449673311536284,762.9091405574649,-0.396983821478943
64.66999999999618,762.4337111833368,-0.37563218382305297,1146.4349497549917,146.43494975499175,4000.0,4150.143719608143,762.4971536948402,-0.5677788080916499,763.000555432386,-0.7730821005338433
64.67999999999618,762.43005488403,-0.3556276775429681,1146.4208464212038,146.4208464212038,4150.611133811337,4150.09451811307,762.5387070329783,-0.5249340204338542,762.9126870762202,-0.13933093151369225
64.68999999999619,762.4265986319057,-0.3356227473317495,1146.4067430957748,146.4067430957748,4150.608673736584,4150.0434640447575,762.4265844872995,-0.46632435788582055,761.4174815761901,0.06116260504648219
64.6999999999962,762.4233424310959,-0.31561741463823517,1146.392639787064,146.3926397870639,4150.603753587076,4149.992410006705,762.4309332062675,-0.43949232844500685,762.470071676979,-0.19800406347768346
64.7099999999962,762.4202862855182,-0.29561170091231864,1146.3785365034303,146.37853650343027,4150.596373362816,4149.941356029171,762.3866237085712,-0.38684685530407886,761.987838229304,0.08696240296427304
64.7199999999962,762.4174301988755,-0.2756056276049493,1146.364433253233,146.36443325323307,4150.586533063801,4149.890302142418,762.3304117411396,-0.3507599719829475,761.824504034256,-0.025978022092765507
64.72999999999621,762.4147741746566,-0.2555992161681321,1146.350330044831,146.35033004483103,4150.574232690033,4149.839248376704,762.3798783582868,-0.37046891924663267,762.8250779126109,-0.5478494446197988
64.73999999999621,762.4123182161355,-0.23559248805492786,1146.3362268865835,146.33622688658352,4150.559472241512,4149.788194762288,762.4822910240428,-0.3500354217209366,763.4040050158468,-0.1661339439896721
64.74999999999622,762.4100623263716,-0.21558546471945333,1146.3221237868495,146.3221237868495,4150.542251718236,4149.737141329432,762.5077627847892,-0.38240404988086096,762.7370086315071,-0.6737217033201801
64.75999999999623,762.40800650821,-0.19557816761688107,1146.308020753988,146.3080207539881,4150.522571120207,4149.686088108395,762.6036736572817,-0.40045816986121574,763.4668715097142,-0.5629452496844081
64.76999999999623,762.4061507642808,-0.17557061820343967,1146.2939177963583,146.2939177963583,4150.500430447424,4149.635035129437,762.63516568962,-0.407812566233389,762.9185939806638,-0.4740021335829483
64.77999999999624,762.4044950970001,-0.15556283793641368,1146.2798149223192,146.27981492231925,4150.475829699888,4149.583982422817,762.5811491902156,-0.3589249720871281,762.0950006955762,0.08106337522922044
64.78999999999624,762.403039508569,-0.13555484827414377,1146.2657121402299,146.26571214022988,4150.448768877599,4149.532930018796,762.6147158577347,-0.3747264871792527,762.9168158654065,-0.5169401230083743
64.79999999999625,762.4017840009743,-0.11554667067602674,1146.2516094584494,146.25160945844937,4150.419247980554,4149.481877947633,762.6479462805115,-0.3174590906749343,762.9470200855028,0.19794747786393146
64.80999999999625,762.4007285759878,-0.09553832660251549,1146.2375068853369,146.23750688533687,4150.387267008757,4149.430826239587,762.5763268396169,-0.2473075864599591,761.9317518715654,0.3840559514748175
64.81999999999626,762.3998732351672,-0.0755298375151192,1146.2234044292513,146.22340442925133,4150.352825962205,4149.37977492492,762.4858385977595,-0.24887298904880356,761.6714444210431,-0.2629616123484038
64.82999999999626,762.3992179798553,-0.05552122487640326,1146.209302098552,146.20930209855192,4150.3159248409,4149.32872403389,762.5011266671737,-0.2551448011726417,762.6387192919012,-0.31159111028718517
64.83999999999627,762.3987628111802,-0.03551251014998938,1146.1951999015976,146.19519990159756,4150.276563644841,4149.277673596758,762.5040812358584,-0.22594928970627762,762.5306723540199,0.03681031349099917
64.84999999999627,762.3985077300555,-0.015503714800555596,1146.1810978467474,146.18109784674743,4150.234742374029,4149.226623643784,762.484170171782,-0.17993271605798863,762.3049705950941,0.23421644677661227
64.85999999999628,762.39845273718,0.004505139706163664,1146.1669959423607,146.1669959423607,4150.190461028463,4149.1755742052255,762.4641803886889,-0.15454269841715923,762.2842723408512,0.07396746035030535
64.86999999999628,762.398597833038,0.02451403190337756,1146.1528941967963,146.1528941967963,4150.143719608143,4149.124525311346,762.5149457269981,-0.11291643908433036,762.971833771782,0.2617198949111297
64.87999999999629,762.3989430178992,0.044522940323238794,1146.1387926184134,146.1387926184134,4150.09451811307,4149.073476992403,762.5426463206289,-0.13164788921007686,762.7919516633063,-0.30023094034179526
64.88999999999629,762.3994882918448,0.06453184879726198,1146.1246912135066,146.1246912135066,4150.0434640447575,4149.022429278657,762.5545701465255,-0.13838487913842812,762.6618845795955,-0.19901778849358942
64.8999999999963,762.4002336548754,0.08454075732023193,1146.1105899820761,146.11058998207614,4149.992410006705,4148.9713821928935,762.4750657483717,-0.11824350588111117,761.7595261649864,0.06302885343474143
64.9099999999963,762.4011791069914,0.10454966588719729,1146.0964889241216,146.09648892412156,4149.941356029171,4148.920335735116,762.4224623249011,-0.07224565713908102,761.9490315136657,0.34173498153919046
64.9199999999963,762.4023246481934,0.12455857449347053,1146.0823880396426,146.08238803964264,4149.890302142418,4148.86928990532,762.4611753302152,-0.10964402106876911,762.8095923780411,-0.446229296435962
64.92999999999631,762.4036702784815,0.14456748313462803,1146.068287328639,146.06828732863892,4149.839248376704,4148.818244703506,762.414009698063,-0.12801647080596937,761.989519008693,-0.2933685184407716
64.93999999999632,762.4052159978562,0.16457639180651001,1146.05418679111,146.05418679110994,4149.788194762288,4148.767200129673,762.3899988642127,-0.0851019144486567,762.1739013595597,0.3011290927671573
64.94999999999632,762.4069618063178,0.18458530050522062,1146.040086427055,146.04008642705503,4149.737141329432,4148.716156183818,762.3795807535143,-0.07582597017328302,762.2858177572286,0.007657528305080014
64.95999999999633,762.4089077038665,0.2045942092271279,1146.0259862364737,146.02598623647373,4149.686088108395,4148.66511286594,762.4475222748902,-0.11692966741113059,763.0589959672731,-0.48686294255175866
64.96999999999633,762.4110536905025,0.2246031179688638,1146.011886219365,146.0118862193649,4149.635035129437,4148.614070176035,762.5057190111273,-0.09910503766779571,763.0294896372616,0.06131663002221813
64.97999999999634,762.413399766226,0.2446120267273243,1145.9977863757276,145.99778637572763,4149.583982422817,4148.563028114101,762.4925816361316,-0.08055423135988697,762.3743452611697,0.08640302541129172
64.98999999999634,762.4159459310371,0.26462093549966925,1145.983686705561,145.983686705561,4149.532930018796,4148.511986680134,762.5620624708991,-0.08296606957808914,763.1873899838066,-0.1046726135419086
64.99999999999635,762.418692184936,0.2846298442833225,1145.969587208864,145.9695872088639,4149.481877947633,4148.460945874131,762.5483122607889,-0.030383318636148064,762.4245603697971,0.44286143984132154
65.00999999999635,762.4216385279228,0.30463875307597194,1145.9554878856352,145.9554878856352,4149.430826239587,4148.409905696088,762.4550947491081,-0.02447805657832067,761.6161371439803,0.028669301942125858
